,city,comments_ta,name,prices_ta,quality_price_ta,rating_ta,stars_ta,rank_ta,heredados_ta,total_heredados_ta,acceso/comunicacion_ta,total_acceso/comunicacion_ta,entretenimiento/deporte_ta,total_entretenimiento/deporte_ta,ninios_ta,total_ninios_ta,comida/bebida_ta,total_comida/bebida_ta,comments_bk,prices_bk,quality_price_bk,rating_bk,stars_bk,rank_bk,heredados_bk,total_heredados_bk,acceso/comunicacion_bk,total_acceso/comunicacion_bk,entretenimiento/deporte_bk,total_entretenimiento/deporte_bk,inclusion,total_inclusion,ninios_bk,total_ninios_bk,comida/bebida_bk,total_comida/bebida_bk
0,Bacalar,9,Zensus Eco Boutique Hotel,1566,0.0,5.0,0.0,102,0,0,0,0,0,0,0,0,0,0,45.0,1618,9.7,9.6,0,21,0,0,1,3,1,2,0,0,1,1,1,1
3,Bacalar,99,Amigos Hotelito,1800,4.0,4.0,0.0,106,1,1,1,2,0,0,1,1,1,1,389.0,1800,8.7,9.0,3,58,1,3,1,1,1,6,0,0,1,1,1,1
4,Bacalar,17,Ade Hotel Bacalar,1019,0.0,3.5,0.0,112,0,0,1,3,0,0,1,2,0,0,340.0,1247,8.3,8.1,3,101,0,0,1,6,1,11,1,1,1,1,1,3
5,Bacalar,4,Aldea Che-eek,1250,0.0,5.0,0.0,119,0,0,0,0,0,0,0,0,0,0,115.0,1600,8.3,7.9,0,175,1,1,1,1,1,2,1,1,1,1,1,1
6,Bacalar,6,Stone Aparments,1114,0.0,3.0,0.0,125,0,0,0,0,0,0,1,1,0,0,313.0,1247,8.4,8.4,4,23,1,1,1,4,1,4,1,1,1,1,0,0
7,Bacalar,7,Hotel Casa Ariana,720,0.0,4.5,0.0,129,0,0,0,0,0,0,0,0,0,0,295.0,720,8.6,8.4,2,5,0,0,1,1,1,4,0,0,0,0,0,0
9,Bacalar,3,Poza Clara Sanctuary,1499,0.0,4.5,0.0,130,0,0,0,0,0,0,1,1,0,0,200.0,1402,8.5,8.7,0,98,0,0,1,2,1,7,1,1,1,4,1,3
10,Bacalar,4,Royal Palm Bacalar Cabañas & Lagoon Club,1250,0.0,3.5,0.0,132,0,0,0,0,0,0,0,0,0,0,308.0,2808,8.2,8.6,5,85,1,1,1,1,1,6,1,1,1,2,0,0
11,Bacalar,1,Hospedaje Casa Poblana,908,0.0,5.0,0.0,134,0,0,0,0,0,0,0,0,0,0,254.0,755,9.2,9.0,2,88,0,0,1,5,1,9,0,0,1,1,1,2
12,Bacalar,3,Casa Árabe,1600,0.0,3.5,0.0,135,0,0,0,0,0,0,0,0,0,0,87.0,1377,7.5,8.2,0,44,1,2,1,8,1,10,0,0,1,2,1,5
