city,comments,name,prices,quality_price,rating,stars,heredados,acceso/comunicacion,entretenimiento/deporte,inclusion,ninios,comida/bebida
Bacalar,458,Blue Palm Bacalar,2522,9.4,9.6,5,0,1,1,0,0,1
Bacalar,63,Private Bungalow @ Bacalar 7 Colors Lagoon,2915,8.4,9.0,3,1,1,0,0,0,0
Bacalar,9,Bleibe- Quédate!,2500,9.4,9.4,3,1,1,1,0,1,1
Bacalar,67,teki-sha home&suites,1066,9.9,9.7,3,0,1,1,0,1,1
Bacalar,281,El Roble Nature Hotel & Lagoon,1125,8.2,8.5,0,1,1,1,0,1,1
Bacalar,254,Hospedaje Casa Poblana,755,9.2,9.0,2,0,1,1,0,1,1
Bacalar,24,SoÍ Bacalar,648,8.1,8.0,3,0,1,1,0,1,1
Bacalar,184,isel magic hotel,850,8.5,8.1,3,0,1,1,0,1,1
Bacalar,7,MIA BACALAR POOL BIKES & KAYAKS @ 7 COLOR LAGOON,1578,8.2,8.4,4,0,1,1,0,1,0
Bacalar,547,Hotel Maria Maria,1200,8.8,9.0,0,0,1,1,0,1,1
Bacalar,14,HOTEL CANTO,750,7.9,7.7,3,0,1,1,0,1,0
Bacalar,184,isel magic hotel,850,8.5,8.1,3,0,1,1,0,1,1
Bacalar,15,Casa baklahar frente a Laguna,916,6.8,6.5,0,1,1,1,0,1,0
Bacalar,390,Hotel Rancho Encantado,5344,8.5,9.1,0,1,1,1,0,1,1
Bacalar,1.320,Hotel CasaBakal - A pie de Laguna - Bacalar,3871,7.7,8.5,5,1,1,1,0,1,1
Bacalar,402,Villas Karalv,900,9.0,8.7,3,1,1,1,0,1,1
Bacalar,292,La Albarina,5244,7.8,8.8,5,1,1,1,0,0,1
Bacalar,309,Casa EEK BALAAM,770,8.0,7.7,0,0,1,1,0,1,1
Bacalar,419,Cabañas Hostal & Camping Magic Bacalar,1700,7.8,8.1,0,1,1,1,0,1,1
Bacalar,76,Cabañas MR,600,9.1,8.9,0,0,0,1,0,0,1
Bacalar,4,Cabaña Sofía Bacalar,3012,9.4,9.7,4,1,1,1,0,0,1
Bacalar,46,The Bacalar Collection: Lagoon House,2782,9.6,9.8,3,1,1,0,0,0,0
Bacalar,3,Almendrita II,630,10,9.7,0,0,0,1,0,0,1
Bacalar,27,Jungla Bacalar/ Casa Jaguar,824,9.3,8.9,0,0,1,0,0,1,1
Bacalar,292,La Albarina,5244,7.8,8.8,5,1,1,1,0,0,1
Bacalar,4,"4, San Fernando, Bacalar Villa Jimmy",1195,8.1,7.8,4,1,0,0,0,0,0
Bacalar,313,Stone Aparments,1247,8.4,8.4,4,1,1,1,1,1,0
Bacalar,108,Mykonos Hotel,550,8.8,8.3,0,0,1,1,0,0,0
Bacalar,45,Zensus Eco Boutique Hotel,1618,9.7,9.6,0,0,1,1,0,1,1
Bacalar,138,Casa Coral,550,9.5,9.3,3,0,1,1,0,1,1
Bacalar,10,XO Hotel Bacalar Lakefront - All Inclusive,2745,7.2,7.1,3,1,1,1,0,1,1
Bacalar,419,Xibalba in town,1200,8.5,8.2,0,0,1,1,0,0,1
Bacalar,367,Blue Bird,2964,7.9,8.7,0,1,1,1,0,1,1
