city,comments,name,prices,quality_price,rating,stars,heredados,acceso/comunicacion,entretenimiento/deporte,ninios,comida/bebida
Bacalar,17,Hotel ADE,1019,0.0,3.5,0,0,1,0,1,0
Bacalar,26,Hotel Casa Lima,893,4.5,4.0,0,0,1,0,1,1
Bacalar,55,El Roble Hotel,589,4.0,4.0,0,0,1,0,0,0
Bacalar,236,Casa Bakal Hostal,2884,3.0,4.0,0,1,1,1,0,1
Bacalar,53,Hotel Sun Ha Bacalar,1584,4.0,4.5,2.0,0,1,0,1,1
Bacalar,62,Bacalar Sunrise Villa Alojamiento,1461,5.0,4.5,0,0,1,1,1,1
Bacalar,737,Centro Holistico Akalki Spa,7612,4.0,4.5,0,1,1,1,1,1
Bacalar,99,Amigos Hotelito,1800,4.0,4.0,0,1,1,0,1,1
Bacalar,122,Casa Lamat,1234,3.5,4.0,0,1,1,0,1,0
Bacalar,9,Zensus,1566,0.0,5.0,0,0,0,0,0,0
Bacalar,5,Hotelito K´uyche´ Alojamiento,787,5.0,5.0,0,0,1,0,1,0
Bacalar,7,El Roble Hotel Nature,1125,4.5,4.0,0,1,0,0,1,0
Bacalar,4,Cabanas Pucte,2475,0.0,3.5,0,0,0,0,0,0
Bacalar,3,Casa Árabe Alojamiento,1600,0.0,3.5,0,0,0,0,0,0
Bacalar,1,Hotel Casa Poblana,908,0.0,5.0,0,0,0,0,0,0
Bacalar,26,VILLA COLIBRÍ BACALAR Posada,4747,2.0,3.5,0,0,1,1,1,1
Bacalar,4,Royal Palm Bacalar Cabanas & Lagoon Club Posada,1250,0.0,3.5,0,0,0,0,0,0
Bacalar,3,Poza Clara Sanctuary Hotel,1499,0.0,4.5,0,0,0,0,1,0
Bacalar,23,Hotel Boutique Aurea Alojamiento,2900,0.0,5.0,0,1,1,1,0,1
Bacalar,33,Agam Hotel Bacalar,1689,4.5,5.0,0,0,1,1,1,1
Bacalar,55,Azul 36 Hotel,1744,2.0,4.0,0,0,1,1,1,0
Bacalar,128,Hotel Hacienda Bacalar,950,4.0,3.5,3.0,0,1,1,1,0
Bacalar,197,Hostal & Suites Pata de Perro,562,4.5,4.5,0,0,1,0,1,1
Bacalar,113,Villas Bakalar Hotel,2045,4.0,4.0,5.0,0,1,1,0,1
Bacalar,15,Casa Delia Hotel,1050,4.5,4.5,0,0,0,0,1,0
