city,comments,name,prices,quality_price,rating,stars, DVD, música para niños,Actividades infantiles (Ideal para niños / familias),Aire acondicionado,Almacenamiento de equipaje,Alquiler de bicicletas,Balcón privado,Bar/Salón,Batas de baño,Bañera con hidromasaje,Bañera de hidromasaje,Bañera/Ducha,Baño adicional,Baños privados,Bicicletas disponibles,Botellas de agua,Buceo,Cadenas de televisión para niños,Cafetería,Café instantáneo gratis,Caja fuerte,Camas extralargas,Cambio de divisas,Campo de golf,Canotaje,Centro de negocios con acceso a Internet,Check-in y check-out exprés,Clases de yoga,Cocina,Comedor,Conserje,Cortinas blackout,Desayuno disponible,Desayuno gratis,Ducha a ras de suelo,Equipo para niños para jugar al aire libre,Escritorio,Esnórquel,Estacionamiento,Estacionamiento en la calle,Estacionamiento gratis,Estacionamiento gratuito privado cercano,Estacionamiento privado pagado cercano,Estacionamiento público gratuito cercano,Estacionamiento vigilado,Estante para la ropa,Excursionismo,Fotocopiadora/Fax en el centro de negocios,Garaje de estacionamientos,Gimnasio / Sala de entrenamiento,Guardarropa/Ropero,Guardería,Habitaciones insonorizadas,Habitaciones interconectadas disponibles,Habitaciones para familias,Habitaciones para fumadores disponibles,Habitaciones para no fumadores,Habitación libre de alérgenos,Hotel para no fumadores,Instalaciones para conferencias,Instalaciones para hacer parrillas,Internet,Internet de alta velocidad gratuito (WiFi),Internet gratuito,Juegos de mesa/Rompecabezas,Kit de primeros auxilios,Kitchenette,Libros,Limpieza en seco,Los niños se alojan gratis,Masaje,Masaje de cuerpo completo,Masaje en pareja,Microondas,Minibar,Muebles de exterior,Máquina de café/té,Navegación,Patio de juegos para niños,Pesca,Piscina,Piscina al aire libre,Piscina en la terraza,Piscina infinita,Piscina para niños,Piso de azulejos/mármol,Plancha,Playa,Playa privada,Productos de tocador de cortesía,Recepción disponible las 24 horas,Red para mosquitos,Refrigerador,Restaurante,Sala de estar,Sala de juegos,Salas de reuniones,Salón de banquetes,Sauna,Se admiten mascotas ( Se aceptan perros / mascotas ),Secador de pelo,Seguridad las 24 horas,Servicio a la habitación,Servicio de despertador/Reloj despertador,Servicio de lavandería,Servicio de limpieza,Servicio de taxi,Sillitas altas disponibles,Solo para adultos,Solárium,Sombrillas,Spa,Suite nupcial,Suites,TV pantalla plana,TV por cable/satélite,Terraza en la azotea,Tienda de regalos,Transporte al aeropuerto,Utensilios de cocina,Vista a la ciudad,Vista a la montaña,Vista a la piscina,Vista a un lugar de interés,Vista al mar,Wifi,Wifi público
Bacalar,113,Villas Bakalar Hotel,2045,4.0,4.0,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Bacalar,197,Hostal & Suites Pata de Perro,562,4.5,4.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Bacalar,128,Hotel Hacienda Bacalar,950,4.0,3.5,3.0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacalar,55,Azul 36 Hotel,1744,2.0,4.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mazunte,107,Casa Mermejita Villa vacacional,2250,4.5,4.5,3.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mazunte,24,Casa Mazunte Tierra Viva Casa de campo,785,5.0,4.5,2.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mazunte,25,Cabañas Telayú,840,4.0,3.5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacalar,24,Casa Hormiga Hotel,3642,0.0,4.5,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Bacalar,55,El Roble Hotel,589,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacalar,23,Hotel Boutique Aurea Alojamiento,2900,0.0,5.0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
