city_ta,comments_ta,name,prices_ta,quality_price_ta,rating_ta,stars_ta,rank_ta,heredados_ta,total_heredados_ta,acceso/comunicacion_ta,total_acceso/comunicacion_ta,entretenimiento/deporte_ta,total_entretenimiento/deporte_ta,ninios_ta,total_ninios_ta,comida/bebida_ta,total_comida/bebida_ta,comments_bk,prices_bk,quality_price_bk,rating_bk,stars_bk,rank_bk,heredados_bk,total_heredados_bk,acceso/comunicacion_bk,total_acceso/comunicacion_bk,entretenimiento/deporte_bk,total_entretenimiento/deporte_bk,inclusion,total_inclusion,ninios_bk,total_ninios_bk,comida/bebida_bk,total_comida/bebida_bk
Bacalar,3,Hotel Seyba Bakalar,3000.0,0.0,1.5,0.0,5,0,0,0,0,0,0,0,0,0,0,144.0,960,7.3,7.4,5,8,0,0,1,2,1,1,0,0,1,1,0,0
Bacalar,1,Siyan Ka'an Bak'halal,,0.0,1.0,0.0,13,0,0,0,0,0,0,0,0,0,0,128.0,700,8.4,8.5,0,46,0,0,1,3,1,5,0,0,0,0,1,1
Bacalar,238,Villas Ecotucan,,3.5,3.5,0.0,19,1,1,0,0,1,2,1,1,1,1,1.084,1436,8.6,8.7,3,138,1,2,1,2,1,7,0,0,1,1,0,0
Bacalar,197,Hostal & Suites Pata de Perro,562.0,4.5,4.5,0.0,22,0,0,1,3,0,0,1,1,1,4,392.0,614,8.0,8.1,0,112,0,0,1,2,1,1,0,0,1,1,1,1
Bacalar,128,Hotel Hacienda Bacalar,950.0,4.0,3.5,3.0,23,0,0,1,2,1,5,1,3,0,0,349.0,950,7.9,7.7,3,92,0,0,1,1,1,1,0,0,1,2,0,0
Bacalar,27,Casa Shiva Bacalar by MIJ,,4.5,4.0,2.0,24,1,2,1,2,0,0,1,3,1,1,599.0,1558,7.9,8.5,4,140,0,0,1,1,1,1,1,1,1,1,1,2
Bacalar,14,La Kinta Hotel,1289.0,0.0,5.0,0.0,26,0,0,1,2,1,2,1,1,1,1,134.0,1580,8.6,8.3,0,23,0,0,1,3,1,9,1,1,1,2,1,4
Bacalar,30,Blue Palm Bacalar,2808.0,5.0,5.0,0.0,27,1,1,1,3,1,3,0,0,1,1,458.0,2522,9.4,9.6,5,111,0,0,1,3,1,12,0,0,0,0,1,1
Bacalar,262,Cabañas Hostal & Camping Magic Bacalar,1533.0,4.5,4.0,1.0,28,1,1,1,2,1,1,1,1,1,5,419.0,1700,7.8,8.1,0,62,1,2,1,1,1,5,0,0,1,1,1,2
Bacalar,2,Hotel Casa las Bugambilias,,0.0,4.5,0.0,34,0,0,0,0,0,0,0,0,0,0,11.0,1047,7.5,6.7,0,104,0,0,1,1,0,0,0,0,1,1,1,1
Bacalar,95,Yaxche Centro Hostal y Camping,,4.5,4.0,2.0,37,0,0,1,3,0,0,1,1,1,1,551.0,414,8.1,7.8,0,14,0,0,1,2,1,8,0,0,0,0,1,3
Bacalar,1,Mykonos Hotel,,0.0,1.0,0.0,49,0,0,0,0,0,0,1,1,0,0,108.0,550,8.8,8.3,0,11,0,0,1,1,1,1,0,0,0,0,0,0
Bacalar,1,BOA BOA Bacalar,,0.0,5.0,0.0,51,0,0,0,0,0,0,0,0,0,0,369.0,2458,8.3,8.7,3,79,1,3,1,3,1,1,0,0,0,0,1,2
Bacalar,139,Toto Blue Hotel Boutique,2140.0,3.5,4.0,3.5,64,0,0,1,2,1,1,1,1,1,2,60.0,2177,7.1,7.4,4,24,0,0,1,5,1,9,1,1,1,1,1,4
Bacalar,1,Hotel Circulo Bacalar,2500.0,0.0,5.0,0.0,66,0,0,0,0,0,0,0,0,0,0,70.0,2500,8.4,8.9,4,33,0,0,1,5,1,5,0,0,1,1,1,3
Bacalar,55,Azul 36 Hotel,1744.0,2.0,4.0,0.0,68,0,0,1,2,1,1,1,1,0,0,674.0,1363,8.0,8.2,0,88,0,0,1,2,1,4,0,0,1,1,0,0
Bacalar,6,XO Hotel Bacalar Lakefront - All Inclusive,1358.0,0.0,3.0,0.0,88,0,0,0,0,0,0,0,0,0,0,10.0,2745,7.2,7.1,3,78,1,2,1,6,1,7,0,0,1,3,1,7
Bacalar,2,Papitos Bacalar Hotel and Marina,960.0,0.0,4.0,0.0,89,0,0,0,0,0,0,0,0,0,0,7.0,960,2.9,2.1,0,81,0,0,1,4,1,7,0,0,1,1,1,2
Bacalar,13,Hotel Pancho Villas Bacalar,1850.0,0.0,3.5,0.0,90,1,1,1,2,0,0,1,1,1,2,193.0,1862,7.9,8.0,4,18,0,0,1,4,1,3,0,0,1,1,1,3
Bacalar,7,El Roble Nature Hotel & Lagoon,1125.0,4.5,4.0,0.0,103,1,2,0,0,0,0,1,1,0,0,281.0,1125,8.2,8.5,0,75,1,2,1,1,1,3,0,0,1,1,1,3
Bacalar,55,El Roble Hotel,589.0,4.0,4.0,0.0,105,0,0,1,2,0,0,0,0,0,0,542.0,591,8.7,8.6,0,72,0,0,1,3,1,3,1,2,1,1,1,1
Bacalar,12,Khaban Bacalar Hotel Boutique,,4.0,4.5,0.0,106,0,0,1,1,1,2,0,0,1,1,212.0,5179,8.4,8.9,4,96,1,3,1,1,1,5,0,0,1,2,1,2
Bacalar,546,Mia Bacalar Luxury Resort & Spa,,4.0,4.5,4.0,107,1,1,1,1,1,3,1,2,1,2,152.0,5761,7.3,8.4,5,83,1,3,1,4,1,5,0,0,1,2,1,1
Bacalar,15,La Albarina,,0.0,4.0,0.0,108,0,0,0,0,0,0,0,0,0,0,292.0,5244,7.8,8.8,5,7,1,3,1,3,1,7,0,0,0,0,1,6
Bacalar,25,Urban Bacalar Hotel by MIJ,,4.0,3.5,2.0,109,0,0,1,2,1,2,1,2,1,1,566.0,932,7.6,7.6,4,144,0,0,1,2,1,4,0,0,1,1,0,0
Bacalar,286,The Yak Lake House - Hostal,,4.0,4.5,0.0,110,1,2,1,3,1,1,0,0,1,2,1.339,2167,7.8,8.6,0,52,1,3,1,1,1,5,0,0,0,0,1,2
Bacalar,103,Hotel Maria Maria,,4.5,5.0,0.0,111,0,0,1,2,0,0,0,0,0,0,547.0,1200,8.8,9.0,0,109,0,0,1,1,1,4,0,0,1,1,1,2
Bacalar,24,Szapot,,5.0,4.0,0.0,113,0,0,1,3,0,0,1,2,0,0,427.0,695,8.5,8.3,0,43,0,0,0,0,0,0,0,0,1,1,0,0
Bacalar,64,Ecocamping Yaxche,,4.0,3.5,2.0,114,0,0,1,1,1,2,0,0,1,1,995.0,625,8.0,7.9,0,87,1,2,1,5,1,9,0,0,1,2,1,6
Bacalar,1429,Hotel Rancho Encantado,,4.5,4.5,3.0,117,1,1,1,2,1,2,1,1,1,3,390.0,5344,8.5,9.1,0,58,1,2,1,5,1,5,0,0,1,3,1,4
Bacalar,363,Hotel & Suites Oasis Bacalar,1691.0,5.0,5.0,0.0,119,0,0,1,2,1,2,1,3,1,4,416.0,1570,8.9,9.1,0,141,0,0,1,3,1,5,1,3,1,2,1,1
Bacalar,11,Casa Bizu,1080.0,0.0,3.5,0.0,122,0,0,1,1,0,0,0,0,0,0,213.0,1080,8.2,8.7,3,113,0,0,1,1,1,6,0,0,1,2,1,5
Bacalar,33,Agam Hotel,1689.0,4.5,5.0,0.0,132,0,0,1,1,1,2,1,2,1,2,690.0,1722,8.9,9.0,0,44,0,0,1,7,1,5,0,0,0,0,1,3
Bacalar,82,MBH Maya Bacalar Hotel Boutique,,4.0,4.0,4.0,133,1,2,1,3,1,1,0,0,1,3,636.0,4817,7.8,8.4,4,80,0,0,1,1,1,8,1,1,1,2,1,4
Bacalar,4,Pucté 13,2475.0,0.0,3.5,0.0,135,0,0,0,0,0,0,0,0,0,0,116.0,2475,8.8,9.2,0,41,1,3,1,7,1,2,0,0,1,1,1,1
Bacalar,31,Blue Bird,,5.0,4.0,0.0,136,1,1,0,0,1,1,0,0,1,1,367.0,2964,7.9,8.7,0,143,1,2,1,1,1,4,0,0,1,1,1,4
Bacalar,3,Estancia Lapislázuli,,5.0,5.0,0.0,140,0,0,1,1,0,0,1,1,0,0,108.0,700,9.4,9.0,0,147,0,0,1,1,1,1,1,3,0,0,0,0
Bacalar,4,Xcabal Hotel boutique,,0.0,5.0,0.0,154,0,0,0,0,0,0,0,0,0,0,204.0,1852,8.6,8.9,3,40,1,1,1,1,1,6,0,0,0,0,1,4
Bacalar,24,Las Nubes by MIJ,,0.0,5.0,3.0,156,1,3,1,2,0,0,1,2,0,0,189.0,2075,7.4,7.7,4,142,1,2,1,3,1,4,0,0,1,1,1,2
Bacalar,3,Casa Árabe,1600.0,0.0,3.5,0.0,172,0,0,0,0,0,0,0,0,0,0,87.0,1377,7.5,8.2,0,29,1,2,1,8,1,10,0,0,1,2,1,5
