,city,comments,name,prices,quality_price,rating,services,stars,id,rank
1160,Bacalar,3,OYO Hotel Seyba Bakalar,3000,0.0,1.5,,0,10,5
1167,Bacalar,1,Villas Ichkabal Bacalar Hotel,,0.0,1.0,,0,15,10
1153,Bacalar,11,Casa Ichkabal Bacalar,,0.0,2.0,Internet de alta velocidad gratuito (WiFi),0,17,12
1152,Bacalar,1,Siyan Ka'an Bak'halal Alojamiento,,0.0,1.0,,0,18,13
1244,Bacalar,8,Casa Mandala Turquesa,,0.0,3.0,Cafetería # Restaurante # Actividades infantiles (Ideal para niños / familias) # Red para mosquitos # Hotel para no fumadores # Muebles de exterior # Cocina compartida # Recepción disponible las 24 horas # Sala de estar # Servicio de despertador/Reloj despertador # Máquina de café/té # Utensilios de cocina # Bañera/Ducha # Habitaciones para familias,0,21,16
770,Bacalar,238,Villas Ecotucan,,3.5,3.5,Estacionamiento gratis # Desayuno gratis # Canotaje # Excursionismo # Se admiten mascotas ( Se aceptan perros / mascotas ) # Solárium # Red para mosquitos # Terraza solárium # Playa privada # Bañera/Ducha # Habitaciones para no fumadores # Habitaciones para familias,0,24,19
769,Bacalar,24,Casa Hormiga Hotel,3642 # 3642 # 3642 # 3644 # 3642 # 3644,0.0,4.5,Estacionamiento gratis # Internet gratuito # Piscina # Clases de yoga # Bar/Salón # Playa # Alquiler de bicicletas # Libros #  DVD #  música para niños # Habitación libre de alérgenos # Aire acondicionado # Escritorio # Comedor # Servicio de limpieza # Balcón privado # Ducha a ras de suelo # Bañera/Ducha # Vista a la piscina # Habitaciones para no fumadores # Suites # Habitaciones para familias,0,25,20
679,Bacalar,113,Villas Bakalar Hotel,2045 # 1840 # 1927,4.0,4.0,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Wifi # Piscina # Piscina al aire libre # Restaurante # Hotel para no fumadores # Aire acondicionado # Kitchenette # Refrigerador # Habitaciones para no fumadores # Suites,5.0,26,21
694,Bacalar,197,Hostal & Suites Pata de Perro,562 # 656 # 656 # 656 # 627,4.5,4.5,Estacionamiento público gratuito cercano # Internet de alta velocidad gratuito (WiFi) # Cafetería # Alquiler de bicicletas # Navegación # Transporte al aeropuerto # Fotocopiadora/Fax en el centro de negocios # Masaje en pareja # Aire acondicionado # Comedor # Servicio de limpieza # Caja fuerte # Guardarropa/Ropero # Estante para la ropa # Kitchenette # Cocina # Habitaciones para no fumadores # Suites # Habitaciones para familias,0,27,22
696,Bacalar,128,Hotel Hacienda Bacalar,950 # 950 # 950,4.0,3.5,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Piscina # Sala de juegos # Juegos de mesa/Rompecabezas # Los niños se alojan gratis # Libros #  DVD #  música para niños # Servicio de taxi # Aire acondicionado # Escritorio # Servicio de limpieza # Guardarropa/Ropero # Baños privados # Piso de azulejos/mármol # Bañera/Ducha # Productos de tocador de cortesía # Habitaciones para no fumadores # Habitaciones para familias,3.0,28,23
