city,comments,name,prices,quality_price,rating,stars,id,rank,heredados,total_heredados,acceso/comunicacion,total_acceso/comunicacion,entretenimiento/deporte,total_entretenimiento/deporte,ninios,total_ninios,comida/bebida,total_comida/bebida
Bacalar,3,OYO Hotel Seyba Bakalar,3000.0,0.0,1.5,0,10,5,0,0,0,0,0,0,0,0,0,0
Bacalar,1,Villas Ichkabal Bacalar Hotel,,0.0,1.0,0,15,10,0,0,0,0,0,0,0,0,0,0
Bacalar,11,Casa Ichkabal Bacalar,,0.0,2.0,0,17,12,0,0,1,1,0,0,0,0,0,0
Bacalar,1,Siyan Ka'an Bak'halal Alojamiento,,0.0,1.0,0,18,13,0,0,0,0,0,0,0,0,0,0
Bacalar,8,Casa Mandala Turquesa,,0.0,3.0,0,21,16,0,0,0,0,0,0,1,2,1,3
Bacalar,238,Villas Ecotucan,,3.5,3.5,0,24,19,1,1,0,0,1,2,1,1,1,1
Bacalar,24,Casa Hormiga Hotel,3642.0,0.0,4.5,0,25,20,1,1,1,2,1,4,1,2,1,2
Bacalar,113,Villas Bakalar Hotel,2045.0,4.0,4.0,5.0,26,21,0,0,1,2,1,2,0,0,1,3
Bacalar,197,Hostal & Suites Pata de Perro,562.0,4.5,4.5,0,27,22,0,0,1,3,0,0,1,1,1,4
Bacalar,128,Hotel Hacienda Bacalar,950.0,4.0,3.5,3.0,28,23,0,0,1,2,1,5,1,3,0,0
Bacalar,27,Casa Shiva Bacalar by MIJ,,4.5,4.0,2.0,29,24,1,2,1,2,0,0,1,3,1,1
Bacalar,87,Hotel Tuparenda Bacalar Hotel especializado,1400.0,4.5,4.5,0,30,25,0,0,1,2,1,1,1,1,1,1
Bacalar,14,La Kinta Hotel,1289.0,0.0,5.0,0,31,26,0,0,1,2,1,2,1,1,1,1
Bacalar,30,Blue Palm Bacalar,2808.0,5.0,5.0,0,32,27,1,1,1,3,1,3,0,0,1,1
Bacalar,262,Cabanas Hostal Y Camping & Marina Magic Bacalar,1533.0,4.5,4.0,1.0,33,28,1,1,1,2,1,1,1,1,1,5
Bacalar,4,Stone Hotel-Apartments,1575.0,0.0,4.0,0,34,29,0,0,0,0,0,0,1,1,0,0
Bacalar,1,Zayali Hostal especializado,,0.0,5.0,0,35,30,0,0,0,0,0,0,0,0,0,0
Bacalar,7,Hotel Henry Inn,799.0,5.0,5.0,0,38,33,0,0,0,0,0,0,0,0,0,0
Bacalar,2,Casa Bugambilias B & B,,0.0,4.5,0,39,34,0,0,0,0,0,0,0,0,0,0
Bacalar,3,Bacalike Hotel & Temazcal,,0.0,3.5,0,40,35,0,0,0,0,0,0,0,0,0,0
Bacalar,15,Hotel Vlandré,,5.0,4.5,0,41,36,0,0,1,3,1,1,0,0,1,3
Bacalar,95,Yaxche Centro Hostal & Camping,,4.5,4.0,2.0,42,37,0,0,1,3,0,0,1,1,1,1
Bacalar,15,Casa Delia Hotel,1050.0,4.5,4.5,0,43,38,0,0,0,0,0,0,1,1,0,0
Bacalar,12,Hotel El Manglar,,2.0,4.0,0,44,39,0,0,0,0,0,0,1,1,0,0
Bacalar,92,Hotel Pier Bacalar- All Inclusive,,3.0,3.0,3.0,45,40,1,3,1,2,1,1,1,2,1,3
Bacalar,1,Casa Delia Hotel,,0.0,5.0,0,46,41,0,0,0,0,0,0,0,0,0,0
Bacalar,2,Hotel Buenavista Bacalar By Nah Hotels,,0.0,2.5,0,47,42,0,0,0,0,0,0,0,0,0,0
Bacalar,444,Hotel Aires Bacalar,,5.0,5.0,0,48,43,1,1,1,2,0,0,1,1,1,2
Bacalar,1,Posada Mykonos Villa vacacional,,0.0,1.0,0,54,49,0,0,0,0,0,0,1,1,0,0
Bacalar,1,Boaboa Bacalar Hotel,,0.0,5.0,0,56,51,0,0,0,0,0,0,0,0,0,0
Bacalar,3,Casa Bambu Bacalar Hotel,,0.0,4.5,0,57,52,0,0,0,0,0,0,1,1,0,0
Bacalar,2,Hotel Diosa Del Agua,,0.0,5.0,0,58,53,0,0,0,0,0,0,0,0,0,0
Bacalar,7,Marina IzaVela Hostal,,0.0,4.5,0,60,55,0,0,0,0,0,0,0,0,0,0
Bacalar,18,Laguna Azul Bacalar,,4.0,4.5,0,61,56,0,0,0,0,0,0,0,0,0,0
