Estado,Nombre,Oferta de Playa
Aguascalientes,Real de asientos,
Aguascalientes,Calvillo,
Aguascalientes,San José de Gracia,
Baja California,Tecate,
Baja California Sur,Todos Santos,Si
Baja California Sur,Loreto,Si
Campeche,Palizada,
Campeche,Isla Aguada,Si
Chiapas,San Cristóbal de las Casas,
Chiapas,Comitán de Domínguez,
Chiapas,Chiapa de Corzo,
Chiapas,Palenque,
Chihuahua,Creel,
Chihuahua,Batopilas,
Chihuahua,Casas Grandes,
Coahuila,Parras de la Fuente,
Coahuila,Cuatro Ciénegas,
Coahuila,Arteaga,
Coahuila,Viesca,
Coahuila,Candela,
Coahuila,Guerrero,
Coahuila,Melchor Múzquiz,
Colima,Comala,
Durango,Mapimí,
Durango,Nombre de Dios,
Guanajuato,Dolores Hidalgo,
Guanajuato,Mineral del Pozo,
Guanajuato,Jalpa,
Guanajuato,Salvatierra,
Guanajuato,Yuriria,
Guanajuato,Comonfort,
Guerrero,Taxco,
Hidalgo,Huasca de Ocampo,
Hidalgo,Real del Monte,
Hidalgo,Mineral del Chico,
Hidalgo,Huichapan,
Hidalgo,Tecozautla,
Hidalgo,Zempoala,
Hidalgo,Zimapán,
Jalisco,Ajijic,
Jalisco,Tapalpa,
Jalisco,Tequila,
Jalisco,Mazamitla,
Jalisco,San Sebastián del Oeste,
Jalisco,Lagos de Moreno,
Jalisco,Mascota,
Jalisco,Talpa de Allende,
Jalisco,Tlaquepaque,
Estado de México,Tepotzotlán,
Estado de México,Valle de Bravo,
Estado de México,Malinalco,
Estado de México,El Oro,
Estado de México,Metepec,
Estado de México,Aculco,
Estado de México,Teotihuacán y San Martín de las Pirámides,
Estado de México,Ixtapan de la Sal,
Estado de México,Tonatico,
Estado de México,Villa del Carbón,
Michoacán,Pátzcuaro,
Michoacán,Tlalpujahua,
Michoacán,Cuitzeo,
Michoacán,Santa Clara del Cobre,
Michoacán,Angangueo,
Michoacán,Tacámbaro,
Michoacán,Jiquilpan,
Michoacán,Paracho,
Michoacán,Tzintzuntzan,
Morelos,Tepoztlán,
Morelos,Tlayacapan,
Nayarit,Jala,
Nayarit,Sayulita,Si
Nayarit,Mexcaltitán,Si
Nayarit,Compostela,Si
Nuevo León,Santiago,
Nuevo León,Linares,
Nuevo León,Bustamante,
Oaxaca,Capulálpam de Méndez,
Oaxaca,Huautla de Jiménez,
Oaxaca,Mazunte,Si
Oaxaca,San Pablo Villa de Mitla,
Oaxaca,Santa Catarina Juquila,
Oaxaca,San Pedro y San Pablo,
Puebla,Cuetzalan,
Puebla,Zacatlán de las manzanas,
Puebla,Pahuatlán,
Puebla,Chignahuapan,
Puebla,Cholula,
Puebla,Tlatlauquitepec,
Puebla,Xicotepec,
Puebla,Atlixco,
Puebla,Tetela de Ocampo,
Puebla,Huauchinango,
Querétaro,Bernal,
Querétaro,Jalpan de Serra,
Querétaro,Cadereyta,
Querétaro,Tequisquiapan,
Querétaro,San Joaquín,
Querétaro,Amealco de Bonfil,
Quintana Roo,Bacalar,Si
Quintana Roo,Isla Mujeres,Si
Quintana Roo,Tulum,Si
San Luis Potosí,Real de Catorce,
San Luis Potosí,Xilitla,
San Luis Potosí,Santa María del Río,
San Luis Potosí,Aquismón,
Sinaloa,Cosalá,
Sinaloa,El Fuerte,
Sinaloa,El Rosarito,Si
Sinaloa,Mocorito,
Sonora,Álamos,
Sonora,Magdalena de Kino,
Tabasco,Tapijulapa,
Tamaulipas,Mier,
Tamaulipas,Tula,
Tlaxcala,Huamantla,
Tlaxcala,Tlaxco,
Veracruz,Xico,
Veracruz,Coatepec,
Veracruz,Papantla,Si
Veracruz,Coscomatepec,
Veracruz,Orizaba,
Veracruz,Zozocolco,
Yucatán,Izamal,
Yucatán,Maní,
Yucatán,Sisal,Si
Yucatán,Valladolid,
Zacatecas,Jerez de García Salinas,
Zacatecas,Teul González Ortega,
Zacatecas,Sombrerete,
Zacatecas,Pinos,
Zacatecas,Nochistlán,
Zacatecas,Guadalupe,
