city,comments,name,prices,quality_price,rating,services,stars,url
Isla Mujeres,100 opiniones,"Icaco Island Village Apartamento, Isla Mujeres",,ui_bubble_rating bubble_45,4.5,"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina,Clases de yoga,Desayuno gratis,Esnórquel,Actividades infantiles (Ideal para niños / familias),Transporte al aeropuerto,Aire acondicionado,Servicio de limpieza,Caja fuerte,Botellas de agua,Microondas,Refrigerador,Habitaciones para no fumadores,Suites",3.0 de 5 burbujas,https://www.tripadvisor.com.mx/Hotel_Review-g150810-d12263363-Reviews-Icaco_Island_Village-Isla_Mujeres_Yucatan_Peninsula.html
Riviera Nayarit,3 opiniones,"Ximena Hotel Boutique, Sayulita, Nayarit",,,5.0,"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina al aire libre,Bar en la piscina,Playa,Excursionismo,Transporte al aeropuerto,Solo para adultos,Aire acondicionado,Escritorio,Balcón privado,Caja fuerte,Máquina de café/té,Minibar,TV por cable/satélite,Bañera/Ducha,Habitaciones para no fumadores,Suites",,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d23716936-Reviews-Ximena_Sayulita_Hotel_Boutique-Sayulita_Pacific_Coast.html
Isla Mujeres,7 opiniones,Ocean Drive Hotel - Isla Mujeres,,,2.5,"Estacionamiento público gratuito cercano,Wifi,Piscina,Check-in las 24 horas,Aire acondicionado,Vista al mar,Vista a la ciudad",3.0 de 5 burbujas,https://www.tripadvisor.com.mx/Hotel_Review-g150810-d23379805-Reviews-Ocean_Drive_Hotel_Isla_Mujeres-Isla_Mujeres_Yucatan_Peninsula.html
Isla Mujeres,3 opiniones,"Hotel Maria Elena, Isla Mujeres",,,4.5,"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina,Piscina al aire libre,Aire acondicionado,Servicio de limpieza,Refrigerador,Bañera/Ducha,Productos de tocador de cortesía",2.0 de 5 burbujas,https://www.tripadvisor.com.mx/Hotel_Review-g150810-d12289033-Reviews-Hotel_Maria_Elena-Isla_Mujeres_Yucatan_Peninsula.html
Isla Mujeres,105 opiniones,"Chichi's 'n Charlies Rancho, Isla Mujeres",,ui_bubble_rating bubble_40,3.5,"Internet de alta velocidad gratuito (WiFi),Wifi,Bar/Salón,Restaurante,Playa,Actividades infantiles (Ideal para niños / familias),Hotel para no fumadores,Aire acondicionado,Habitaciones para no fumadores,Habitaciones para familias",,https://www.tripadvisor.com.mx/Hotel_Review-g150810-d2096818-Reviews-Chichi_s_n_Charlies-Isla_Mujeres_Yucatan_Peninsula.html
Isla Mujeres,183 opiniones,"Hotel Marcianito, Isla Mujeres",,ui_bubble_rating bubble_45,4.0,"Internet de alta velocidad gratuito (WiFi),Wifi,Los niños se alojan gratis,Hotel para no fumadores,Check-in y check-out exprés,Balcón privado,Caja fuerte,Refrigerador,Habitaciones para no fumadores",2.0 de 5 burbujas,https://www.tripadvisor.com.mx/Hotel_Review-g150810-d286218-Reviews-Hotel_Marcianito-Isla_Mujeres_Yucatan_Peninsula.html
Riviera Nayarit,3 opiniones,"Pacific Inn Sayulita Alojamiento, Nayarit",,,1.0,"Estacionamiento gratis,Piscina,Servicio de traslado en autobús,Kitchenette",,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d20156936-Reviews-Pacific_Inn_Sayulita-Sayulita_Pacific_Coast.html
Riviera Nayarit,14 opiniones,"Casa Pia, Sayulita, Nayarit",,ui_bubble_rating bubble_45,4.0,"Internet de alta velocidad gratuito (WiFi),Red para mosquitos,Hotel para no fumadores,Aire acondicionado,Servicio de limpieza,Bañera/Ducha,Productos de tocador de cortesía",,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d12460308-Reviews-Casa_Pia-Sayulita_Pacific_Coast.html
Riviera Nayarit,10 opiniones,"Villas Amalia Hotel Hotel especializado, Sayulita, Nayarit",,,4.0,"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina,Guardería,Actividades infantiles (Ideal para niños / familias),Transporte al aeropuerto,Almacenamiento de equipaje,Hotel para no fumadores,Aire acondicionado,Servicio de limpieza,Caja fuerte,Kitchenette,Refrigerador,Habitaciones para no fumadores,Habitaciones para familias",,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d13465538-Reviews-Villas_Amalia_Hotel-Sayulita_Pacific_Coast.html
Riviera Nayarit,34 opiniones,"Bungalow's Jaqueline, Sayulita, Nayarit",,ui_bubble_rating bubble_45,4.0,"Internet de alta velocidad gratuito (WiFi),Wifi,Piscina,Aire acondicionado,Kitchenette,Habitaciones para no fumadores",,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d2513131-Reviews-Bungalow_s_Jaqueline-Sayulita_Pacific_Coast.html
